time,lat,lng,movespeed,power,pressure,speed
9/11/17 11:00,14.8,125.9,15,7,1004,15
9/11/17 14:00,14.7,124.5,13,7,1002,16
9/11/17 17:00,14.5,124.3,16,7,1002,16
9/11/17 20:00,14.5,124,12,7,1002,16
9/11/17 23:00,14.5,123.7,12,7,1002,16
9/12/17 2:00,14.6,123.2,13,7,1002,16
9/12/17 5:00,14.7,122.9,16,7,1002,16
9/12/17 8:00,14.5,121.9,14,7,1002,16
9/12/17 11:00,14.7,121.4,15,7,1002,16
9/12/17 14:00,14.7,120.7,18,8,998,18
9/12/17 17:00,14.9,120.3,19,8,998,18
9/12/17 20:00,15.1,119.7,19,8,998,18
9/12/17 23:00,15.1,119.3,18,8,998,18
9/13/17 2:00,14.8,118.3,17,8,998,18
9/13/17 3:00,14.8,118.2,17,8,998,18
9/13/17 4:00,14.7,118,17,8,998,18
9/13/17 5:00,14.7,117.8,18,8,995,20
9/13/17 6:00,14.7,117.7,18,8,995,20
9/13/17 7:00,14.7,117.5,18,8,995,20
9/13/17 8:00,14.8,117.2,20,8,995,20
9/13/17 9:00,14.8,117,19,8,995,20
9/13/17 10:00,14.8,116.8,18,8,995,20
9/13/17 11:00,14.9,116.5,18,8,995,20
9/13/17 12:00,15,116.4,18,8,995,20
9/13/17 13:00,15.1,116.2,18,8,995,20
9/13/17 14:00,15.3,116,18,9,990,23
9/13/17 15:00,15.4,115.8,18,9,990,23
9/13/17 16:00,15.4,115.4,18,9,990,23
9/13/17 17:00,15.5,115.2,18,9,990,23
9/13/17 18:00,15.6,115.1,18,9,990,23
9/13/17 19:00,15.7,114.9,16,9,990,23
9/13/17 20:00,15.7,114.8,20,9,990,23
9/13/17 21:00,15.7,114.6,20,9,990,23
9/13/17 22:00,15.8,114.3,16,9,990,23
9/13/17 23:00,15.8,114.2,21,9,990,23
9/14/17 0:00,15.8,113.9,21,9,990,23
9/14/17 1:00,15.8,113.7,20,9,990,23
9/14/17 2:00,15.8,113.5,19,9,990,23
9/14/17 3:00,15.8,113.3,17,9,990,23
9/14/17 4:00,15.9,113.1,15,9,990,23
9/14/17 5:00,15.9,112.9,23,10,985,25
9/14/17 6:00,15.9,112.8,22,10,985,25
9/14/17 7:00,15.9,112.6,20,10,985,25
9/14/17 8:00,16,112.4,21,10,985,25
9/14/17 9:00,16.1,112.2,21,10,985,25
9/14/17 10:00,16.1,112,21,10,982,28
9/14/17 11:00,16.1,111.8,22,11,980,30
9/14/17 12:00,16.2,111.6,22,11,980,30
9/14/17 13:00,16.3,111.4,20,11,980,30
9/14/17 14:00,16.4,111.2,21,12,975,33
9/14/17 15:00,16.4,111,21,12,975,33
9/14/17 16:00,16.6,110.8,19,12,975,33
9/14/17 17:00,16.7,110.6,25,12,970,35
9/14/17 18:00,16.7,110.4,25,12,970,35
9/14/17 19:00,16.7,110.2,22,12,970,35
9/14/17 20:00,16.9,110,25,13,965,38
9/14/17 21:00,17,109.7,22,13,965,38
9/14/17 22:00,17,109.5,22,13,965,38
9/14/17 23:00,17,109.3,24,13,965,38
9/15/17 0:00,17,109.2,24,13,965,38
9/15/17 1:00,17.2,109,25,13,965,38
9/15/17 2:00,17.3,108.9,20,13,965,38
9/15/17 3:00,17.4,108.6,17,13,965,38
9/15/17 4:00,17.4,108.4,15,14,955,42
9/15/17 5:00,17.5,108.2,23,14,955,42
9/15/17 6:00,17.6,107.9,20,14,955,42
9/15/17 7:00,17.6,107.7,19,14,955,42
9/15/17 8:00,17.6,107.4,18,14,955,42
9/15/17 9:00,17.7,107.1,20,14,950,45
9/15/17 10:00,17.7,106.9,20,14,950,45
9/15/17 11:00,17.7,106.7,25,14,950,45
9/15/17 12:00,17.8,106.5,20,14,950,45
9/15/17 14:00,18,106.1,25,14,955,42
9/15/17 17:00,18,105.5,30,12,970,35
9/15/17 20:00,18,104.6,31,11,980,30
9/16/17 2:00,18.1,103,32,10,985,25
9/16/17 5:00,18.2,102,29,8,995,20
9/16/17 8:00,18.6,101.3,30,7,1000,16
9/16/17 11:00,19.4,100.4,30,6,1004,12
9/16/17 14:00,19.5,100.1,25,6,1004,12
