time,lat,lng,movespeed,power,pressure,speed
9/7/18 20:00,12.9,165.3,28,8,1000,18
9/8/18 2:00,13,163.8,28,8,998,18
9/8/18 5:00,13.1,162.9,25,8,998,18
9/8/18 8:00,13.6,162.4,29,8,998,18
9/8/18 14:00,14.4,160.9,30,8,995,20
9/8/18 17:00,14.6,160.1,35,9,990,23
9/8/18 20:00,14.6,159.2,35,9,990,23
9/9/18 2:00,14.8,157.1,38,10,982,28
9/9/18 5:00,14.9,156.2,35,11,980,30
9/9/18 8:00,14.9,155.2,30,12,975,33
9/9/18 14:00,15.3,153.1,35,12,975,33
9/9/18 17:00,15.2,152.1,35,12,970,35
9/9/18 20:00,15.2,151.2,35,12,970,35
9/10/18 2:00,14.6,149.2,30,13,965,38
9/10/18 5:00,14.6,148.6,30,13,965,38
9/10/18 8:00,14.6,147.6,30,13,965,38
9/10/18 14:00,14.4,145.8,25,13,965,38
9/10/18 17:00,14.2,144.9,25,13,960,40
9/10/18 20:00,14.1,144.3,24,14,950,45
9/11/18 2:00,14,142.6,23,15,945,48
9/11/18 5:00,14,142,22,15,945,48
9/11/18 8:00,14,141.2,25,16,935,52
9/11/18 14:00,14,139.9,25,17,925,58
9/11/18 17:00,13.8,139.2,20,18,915,62
9/11/18 20:00,13.7,138.7,20,18,910,65
9/12/18 2:00,14,137.4,21,18,910,65
9/12/18 5:00,14,136.8,22,18,910,65
9/12/18 8:00,13.9,136.3,23,18,910,65
9/12/18 14:00,14,135.2,21,18,910,65
9/12/18 17:00,14.1,134.7,21,18,910,65
9/12/18 20:00,14.3,134,23,18,910,65
9/13/18 2:00,14.4,132.5,22,18,910,65
9/13/18 5:00,14.4,132,23,18,910,65
9/13/18 8:00,14.5,131.4,23,18,910,65
9/13/18 11:00,14.7,130.7,22,18,910,65
9/13/18 14:00,14.7,130.1,21,18,910,65
9/13/18 17:00,14.9,129.5,22,18,910,65
9/13/18 20:00,15,129,22,18,910,65
9/13/18 23:00,15,128.4,22,18,910,65
9/14/18 2:00,15.2,127.9,26,18,910,65
9/14/18 5:00,15.5,127.5,26,18,910,65
9/14/18 8:00,15.9,127,25,18,910,65
9/14/18 11:00,16.3,126.3,28,18,910,65
9/14/18 14:00,16.6,125.5,30,18,910,65
9/14/18 17:00,17,124.9,30,18,910,65
9/14/18 20:00,17.4,124.2,30,18,910,65
9/14/18 23:00,17.8,123.4,30,18,910,65
9/15/18 2:00,18,122.4,27,18,910,65
9/15/18 5:00,18.1,121.5,25,17,925,58
9/15/18 8:00,18.1,120.7,26,16,935,52
9/15/18 9:00,18.1,120.5,25,15,940,50
9/15/18 10:00,18.3,120.3,20,15,945,48
9/15/18 11:00,18.4,120.2,27,15,945,48
9/15/18 12:00,18.4,119.9,25,15,945,48
9/15/18 13:00,18.4,119.7,25,15,945,48
9/15/18 14:00,18.5,119.6,28,15,945,48
9/15/18 15:00,18.6,119.5,28,15,945,48
9/15/18 16:00,18.7,119.4,28,15,945,48
9/15/18 17:00,18.9,119.2,25,15,945,48
9/15/18 18:00,19.1,119,28,15,945,48
9/15/18 19:00,19.3,118.6,28,15,945,48
9/15/18 20:00,19.3,118.3,29,15,945,48
9/15/18 21:00,19.4,118.1,29,15,940,50
9/15/18 22:00,19.5,117.8,29,15,940,50
9/15/18 23:00,19.5,117.6,31,15,940,50
9/16/18 0:00,19.6,117.3,31,15,940,50
9/16/18 1:00,19.6,117.1,31,15,940,50
9/16/18 2:00,19.7,117,32,15,940,50
9/16/18 3:00,19.8,116.8,32,15,940,50
9/16/18 4:00,20,116.5,32,15,940,50
9/16/18 5:00,20.2,116.2,30,15,940,50
9/16/18 6:00,20.3,116,30,15,940,50
9/16/18 7:00,20.4,115.8,30,15,940,50
9/16/18 8:00,20.6,115.6,35,15,940,50
9/16/18 9:00,20.7,115.3,35,15,945,48
9/16/18 10:00,20.8,115,35,15,945,48
9/16/18 11:00,21,114.7,30,15,945,48
9/16/18 12:00,21.2,114.4,35,15,945,48
9/16/18 13:00,21.4,113.8,35,15,950,48
9/16/18 14:00,21.5,113.5,33,15,950,48
9/16/18 15:00,21.6,113.3,33,15,955,48
9/16/18 16:00,21.7,113,33,15,955,48
9/16/18 17:00,21.9,112.5,30,14,955,45
9/16/18 18:00,21.8,112.3,30,14,960,42
9/16/18 19:00,21.9,112,30,14,960,42
9/16/18 20:00,22,111.6,30,13,965,38
9/16/18 21:00,22.1,111.2,30,12,970,35
9/16/18 22:00,22.2,110.9,30,12,975,33
9/16/18 23:00,22.3,110.6,30,12,975,33
9/17/18 0:00,22.3,110.3,30,12,975,33
9/17/18 1:00,22.4,110.1,30,12,975,33
9/17/18 2:00,22.4,109.9,27,12,975,33
9/17/18 3:00,22.5,109.6,24,12,975,33
9/17/18 4:00,22.6,109.4,27,11,980,30
9/17/18 5:00,22.7,109.2,20,11,980,30
9/17/18 6:00,22.7,109,20,10,985,25
9/17/18 7:00,22.8,108.8,20,9,990,23
9/17/18 8:00,22.9,108.6,25,8,995,20
9/17/18 9:00,23.1,108.5,25,8,995,20
9/17/18 10:00,23.2,108.3,25,8,996,18
9/17/18 11:00,23.2,108.1,25,8,996,18
9/17/18 12:00,23.3,107.8,22,8,996,18
9/17/18 13:00,23.5,107.6,25,8,996,18
9/17/18 14:00,23.7,107.3,20,7,998,16
9/17/18 17:00,24,106.6,20,7,1001,14
